_UIAlertControlleriOSActionSheetCancelBackgroundView,UIView
BKSProcessAssertionUpdateEvent,BKSProcessAssertionEvent
UIImageNibPlaceholder,UIImage
_UIAlertControllerShimPresenterWindow,UIApplicationRotationFollowingWindow
UNSRemoteNotificationRegistrar,NSObject
NSDistantObjectTableEntry,NSObject
UIPickerTableViewTitledCell,UIPickerTableViewCell
NSLineFragmentRenderingContext,NSObject
OS_nw_parameters,OS_object
CIShadedMaterial,CIFilter
_UICompatibilityTextView,UIScrollView
UIScreenEdgePanGestureRecognizer,UIPanGestureRecognizer
UIKeyboardCornerView,UIView
NSConcretePointerArray,NSPointerArray
_UIPhysicalButton,UIPress
UIWebFormRotatingAccessoryPopover,UIWebRotatingNodePopover
CISmartToneFilter,CIFilter
BSDispatchSource,NSObject
NSFileAccessNode,NSObject
NSKeyValueNonmutatingCollectionMethodSet,NSObject
NSEnumerator,NSObject
_UIImageViewPretiledImageCacheKey,NSObject
CAReplicatorLayer,CALayer
DOMHTMLOListElement,DOMHTMLElement
CICode128BarcodeGenerator,CICodeGenerator
_CSIRenditionBlockData,NSObject
UIStatusBarHideAnimationParameters,UIStatusBarAnimationParameters
UIKBKeyViewAnimator,NSObject
UIPrinterSetupPINView,UIControl
_UIFontCacheKey,NSObject
UIKBRenderFactory_Car,UIKBRenderFactory
WebUserContentURLPattern,NSObject
NSKeyValueMutatingCollectionMethodSet,NSObject
UIRuntimeEventConnection,UIRuntimeConnection
NSVariableExpression,NSExpression
UIKeyboardCandidateGridHeader,UIView
CISimpleTile,CIFilter
NSUserActivity,NSObject
SBSApplicationShortcutCustomImageIcon,SBSApplicationShortcutIcon
_CFPrefsSynchronizer,NSObject
UIUpdateItem,NSObject
UIKeyboardInputManagerMux,NSObject
UIPeripheralHostState,NSObject
NSSpellCheckingResult,NSTextCheckingResult
OS_xpc_uuid,OS_xpc_object
CAStateController,NSObject
DOMDOMNamedFlowCollection,DOMObject
AUExtensionInstanceProxy,NSObject
UIKeyboardSliceSet,NSObject
NSURLSessionAVAssetDownloadTask,NSURLSessionTask
_UIGroupTableViewCellBackgroundImageKey,NSObject
NSXPCListenerEndpoint,NSObject
_UIRemoteInputViewController,_UIRemoteViewController
CASuspendNotification,NSObject
CUIScaleClampFilter,CIFilter
_UIDocumentPickerAuxiliaryOption,NSObject
NSPort,NSObject
CIBurstFaceScoreEntry,NSObject
TIInputModeController,NSObject
UIKeyboardScheduledTask,NSObject
NSDateCheckingResult,NSTextCheckingResult
__NSCFBoolean,NSNumber
UIKBCandidateView,UIKBKeyView
NSXPCListener,NSObject
NSPointerFunctions,NSObject
UIKeyboardCandidateGridCellAttributes,UICollectionViewLayoutAttributes
UICIColor,UIColor
FBSCAContextSceneLayer,FBSSceneLayer
CINoiseReduction,CIFilter
WebUserContentURLPatternPrivate,NSObject
NSBetweenPredicateOperator,NSPredicateOperator
_UIRefreshControlModernReplicatorView,UIView
CAStateAddAnimation,CAStateElement
UIPhraseBoundaryGestureRecognizer,UILongPressGestureRecognizer
NSRTFReader,NSObject
BSZeroingWeakReferenceProxy,NSProxy
_UIRemoteView,_UILayerHostView
_CPPowerAssertion,NSObject
_UIAlertControllerShadowedScrollView,UIScrollView
_UIBackgroundHitTestWindow,UIWindow
DOMDocumentType,DOMNode
NSDistantObject,NSProxy
CICodeGenerator,CIFilter
FBSWorkspaceSceneUpdateEvent,FBSWorkspaceSceneEvent
UIIBApplication,UIApplication
